asset	url
OfficialAssets.DeviceModels.Knuckles.valve_controller_knu_1_0_right.trackpad	resdb:///d43d2b749689d655808834c2707a63f636eeeb82e506cb97fe4dd098ae237ea9.brson
OfficialAssets.DeviceModels.Knuckles.valve_controller_knu_1_0_right.trackpad_scroll_cut	resdb:///26fce765ee2fae1b09d4d26d79087c17192f1ff9c4703d4f4fc13229cb498cee.brson
OfficialAssets.DeviceModels.Knuckles.valve_controller_knu_1_0_right.trackpad_scroll_wheel	resdb:///1e353afdde99b26cb608f1bde524d685b4b96f7f075302b1552d7a589c7b3960.brson
OfficialAssets.DeviceModels.Knuckles.valve_controller_knu_1_0_right.trackpad_touch	resdb:///2eca334c5941c7e2452299f98f4aee175deadbea02bcd82d23e330c19c72b29b.brson
OfficialAssets.DeviceModels.Knuckles.valve_controller_knu_1_0_right.trigger	resdb:///3dbf7c3fa44c67b5aeadbed72157ac7250ad0379cfaf9a5accb2d9f69d017157.brson
OfficialAssets.DeviceModels.Knuckles.valve_controller_knu_1_0_right.valve_controller_knu_1_0_right_	resdb:///fefe0c1a3ca7de4c3cd93081cb3df76490e7a0b890719e9e2a929028e71d64b3.brson
OfficialAssets.DeviceModels.Knuckles.valve_controller_knu_1_0_right.valve_controller_knu_1_0_right_diff	resdb:///464a0bac9d49b6a6c441a75bd0cf0821c908af00696cde96342a1bf680df8fac.png
OfficialAssets.DeviceModels.Knuckles.valve_controller_knu_1_0_right.valve_controller_knu_1_0_right_spec	resdb:///f1fc3bf60fccef8bb2aa5cd72ef28b1a7d94a4f298938529041b47586c6b60e6.png
OfficialAssets.DeviceModels.Knuckles.valve_controller_knu_1_0_right.valve_controller_knu_1_0_right_thumbnail	resdb:///10799b3b6c5ad458fa4e909ee4c1712d9c6b603d0a02e92172b383a2d46b799f.png
OfficialAssets.DeviceModels.Oculus.GearVrController	resdb:///072aee10004f8dd0bd492863a240f758cfdf1706b7eb820e61e00623d9116627.brson
OfficialAssets.DeviceModels.Oculus.OculusGoController	resdb:///e100d96cfda911c3c772954640b1560e2ff1d2c1124476bcffb0f473bb4ac8f6.brson
OfficialAssets.DeviceModels.Oculus.OculusQuestTouchControllerTexture	resdb:///a7220f7838ad0b05a2b4e0f5e0d6140bdb0b1ae6e7987f926698ea811dec0322.png
OfficialAssets.DeviceModels.Oculus.OculusTouchForQuestAndRiftS_Left	resdb:///c6e6dbccf176e02af6933b03712a8ee744c2a34e28a7b9df7ae95d924c50d813.brson
OfficialAssets.DeviceModels.Oculus.OculusTouchForQuestAndRiftS_Right	resdb:///f6e48f4630cc7529307adda1bb394f2dc1e12460fdff441066a30b148c6a5094.brson
OfficialAssets.DeviceModels.Pico_Neo.pico_neo2_leftcontroller.left_app_button	resdb:///922ea3f1da15a2ad541252712eb33b91add735fd6fece5d69557689638b6609b.brson
OfficialAssets.DeviceModels.Pico_Neo.pico_neo2_leftcontroller.left_body	resdb:///227a18fe74766665ccac8ca53e6a32de9eecc8eeef6f2f76cda3d70cc317fe58.brson
OfficialAssets.DeviceModels.Pico_Neo.pico_neo2_leftcontroller.left_controller	resdb:///dd5268e81b8a8dbe7c18d8a96ed0f00c4d252be30b94a6626a69017b43c980f8.brson
OfficialAssets.DeviceModels.Pico_Neo.pico_neo2_leftcontroller.left_controller_occ	resdb:///488e708810871a4dd5fd79ed62eabfcfb8d335081af395d745fc0e3e13a0dadc.tga
OfficialAssets.DeviceModels.Pico_Neo.pico_neo2_leftcontroller.left_controller_spec	resdb:///3760ad97e8d7a75ef524d72242199cc323039e4ec990ce72d64f19e7bcc35e6d.tga
OfficialAssets.DeviceModels.Pico_Neo.pico_neo2_leftcontroller.left_controller_texture	resdb:///60fd3297927d4103d7188744d8d39e26ca66b766cc5edc156edb2e20693167b8.tga
OfficialAssets.DeviceModels.Pico_Neo.pico_neo2_leftcontroller.left_grip	resdb:///cecbfff71094bd376c7f38848b414d1a5fe20dbc4652356a8915acff5090fc93.brson
OfficialAssets.DeviceModels.Pico_Neo.pico_neo2_leftcontroller.left_home_button	resdb:///1df11353e385fead8257730bf0b84e8d77122beb6f2abc1904821ea7cd2c273b.brson
OfficialAssets.DeviceModels.Pico_Neo.pico_neo2_leftcontroller.left_joystick	resdb:///483dc226c971a955e8758e62cd2a80cbf1899038c0873160b8f1f60c98c9a2d7.brson
OfficialAssets.DeviceModels.Pico_Neo.pico_neo2_leftcontroller.left_trigger	resdb:///97e77505df5be305f091bab13fbdfb393b852754795326125f33ade423f0e5fc.brson
OfficialAssets.DeviceModels.Pico_Neo.pico_neo2_leftcontroller.left_x_button	resdb:///6288d257654d65c14564f913be338b624b31c76dc78e8dad0f3a0a7f26ab3202.brson
OfficialAssets.DeviceModels.Pico_Neo.pico_neo2_leftcontroller.left_y_button	resdb:///11d7c6a65a92c5695bfeeb7c22855a68d6ae21bde25f9d5bbf85589a4ed6cde8.brson
OfficialAssets.DeviceModels.Pico_Neo.pico_neo2_leftcontroller.pico_controller_thumbnail	resdb:///99d58a5428369ed0f30bbbdf7a027238108edfc2c1b4f7b237b6912339f0c006.png
OfficialAssets.DeviceModels.Pico_Neo.pico_neo2_leftcontroller.pico_left_controller_thumbnail	resdb:///7e8c35a2b84bd4e33d36fb7d0ae20bcf5b2eb28532462fa50cfa99771293173b.png
OfficialAssets.DeviceModels.Pico_Neo.pico_neo2_leftcontroller.pico_neo2_leftcontroller_	resdb:///74bbb60da46c9d0a8d3dcf0881f136dfd91f4a00df6afdc7f7f99ff049019c09.brson
